,mse,rmse,mae,mape,r2,rel_mse
mean,0.010323518142206452,0.09289223830441465,0.07666063104398033,4.437409072210348,-1.4089716835337434,2.408971683533743
std,0.008431745907094588,0.04235834780566819,0.03512557338889374,7.636219968941169,1.2572613747473609,1.2572613747473609
median,0.008236063569005206,0.09068362527506049,0.06997505587073355,1.917072068667522,-0.9790144444706379,1.9790144444706375
min,0.0013616301800358965,0.03690027344120767,0.030620282368074864,1.0781474193843892,-3.7310468482410233,0.9954979581632043
max,0.02611009377582704,0.16158618064620203,0.1396765715785639,33.43777395434289,0.0045020418367957005,4.731046848241023
