,mse,rmse,mae,mape,r2,rel_mse
mean,0.005273118798889801,0.06786044498821103,0.05607975527932455,2.46898412133798,-0.23815725209802874,1.2381572520980288
std,0.0041774404810553094,0.02659657042027622,0.019656573338458706,3.359776155924886,0.2212255493864638,0.2212255493864638
median,0.003357601002417651,0.0579009373532698,0.04793169620503425,1.3870668219347837,-0.14204342926918745,1.1420434292691874
min,0.0011877505035858829,0.034463756376603566,0.02902934333877971,1.0993532402122845,-0.8718430869847031,0.9434947909376042
max,0.014298985662821022,0.1195783661989953,0.0906252353982423,15.068788521102089,0.05650520906239587,1.8718430869847031
