,mse,rmse,mae,mape,r2,rel_mse
mean,0.001120089323845087,0.03022641887567654,0.02106253095663424,0.063136974899757,0.7162154074113969,0.2837845925886031
std,0.0010566733285580475,0.014785033498440589,0.010396973158476956,0.03284116697889115,0.5431750942943134,0.5431750942943134
median,0.0007878175503173539,0.028060029143395514,0.01922629488789547,0.06226412478118791,0.8673165230708166,0.1326834769291834
min,9.954554993223031e-05,0.009977251622176836,0.007492950852598781,0.022635413102430665,-1.3911307926546477,0.018377704284912554
max,0.003993460232473565,0.06319383065199928,0.04757817267509899,0.16699566103872135,0.9816222957150874,2.3911307926546477
